#,Name,Comments 1,Quarter,Down,Distance,Field Position,P/10,SY/GL,Red Area,Drive #,Drive Play #,Gain,R/P,Hash,Personnel,Backfield,Formation,Form Var,Motion,Starting Form,FIB,Endover,Form Adj Reduce,Y Location,Pass Concept,Pass Result,Run Concept,Run Strength,Play Type,Proctection,Front,Front Type,Stunt,Pressure Type,Coverage,2M/4M,BC/REC,QB,RB,TE,WR,Tempo,pff_OFFPERSONNELBASIC,pff_RUNPASS,pff_DRIVEPLAY,pff_HASHDEF,pff_PREVIOUSGAINLOSS,pff_GAINLOSS,pff_SCREEN,pff_QUICKGAME,pff_RUNCONCEPT3,pff_RUNCONCEPTPRIMARY,pff_PENALTY,pff_TOUCHDOWN,pff_TRICKLOOK,pff_TRICKPLAY,pff_TEMPO,pff_2MINUTE,pff_GARBAGETIME,pff_BALLCARRIER,pff_QB,pff_RBS,pff_WRS,pff_TES,pff_FRONTTYPE,pff_OFFFORMATIONGROUP,pff_RUNPASSOPTION,pff_PREVIOUSRUNPASS,pff_PASSRECEIVERTARGET,pff_BLITZDOG,pff_PASSCOVERAGEBASIC
1,"2510 UAB O vs North Texas, Play 001",,1,0,10,'-26,P,,,1,1,5,R,R,21,GN,TRIPS BUNCH,,Z MTR,,,,X,ON,,,IZ,WK,ZN,,BENCH,4 DWN,,,,0,ALBI 03,ALBI 07,03; 11,85,00; 06,0,21,R,,R,45,5,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 03,ALBI 07,03; 11,00; 06,85,WIDE OVER,1x3,1,,,0,COVER 6
2,"2510 UAB O vs North Texas, Play 002",,1,2,5,'-31,2,,,1,2,8,P,R,11,GEMP,NUMBERS,,,,,,,OPEN,NOW SCR,COMPLETE,,,SCR,,,,,,,0,ALBI 04,ALBI 07,4,85,00; 06; 18,1,11,P,,R,5,8,1,0,,,,,1,0,1,0,0,ALBI 04,ALBI 07,04,00; 06; 18,85,WIDE UNDER,3x4,0,R,ALBI 04,0,COVER 4
3,"2510 UAB O vs North Texas, Play 003",,1,1,10,'-39,1,,,1,3,15,R,M,11,GF,TREY Y OFF,,,,,,,OFF,,,Y INSERT,STR,ZN,,BENCH,4 DWN,,,,0,ALBI 04,ALBI 07,4,85,00; 06; 18,1,11,R,,C,8,15,0,,,INSIDE ZONE,,,0,0,1,0,0,ALBI 04,ALBI 07,04,00; 06; 18,85,WIDE UNDER,3x1,1,P,,0,COVER 6
4,"2510 UAB O vs North Texas, Play 004",,1,1,10,'+46,1,,,1,4,0,P,R,11,GN,TRIPS,,,,,,,ON,FLOOD,INTERCEPTION,,,DB,FS RT,OFF EVEN,4 DWN,,STREAK,,0,,ALBI 15,4,85,00; 06; 12,1,11,P,,R,15,0,0,0,,,,,0,0,1,0,0,,ALBI 15,04,00; 06; 12,85,WIDE OVER,1x3,0,R,ALBI 12,1,COVER 3
5,"2510 UAB O vs North Texas, Play 005",,1,0,10,'-22,P,,,2,1,0,R,L,12,GF,KING U OFF,,Z MTR,,,,,SLOT,,,IZ,STR,ZN,,BENCH,4 DWN,,,,0,ALBI 11,ALBI 07,11,17; 85,00; 08,0,12,R,,L,63,0,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 11,ALBI 07,11,00; 08,17; 85,OVER,3x1,1,,,0,COVER 1
6,"2510 UAB O vs North Texas, Play 006",,1,0,10,'-20,P,,,3,1,9,R,M,11,GF,DUO Y OFF,,SHIFT,EMPTY 3x2 V BUNCH,,,,OFF,,,Y INSERT,STR,ZN,,EVEN,4 DWN,,,,0,ALBI 04,ALBI 07,4,85,00; 06; 18,0,11,R,,C,60,9,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 04,ALBI 07,04,00; 06; 18,85,WIDE OVER,2x2,1,,,0,COVER 4
7,"2510 UAB O vs North Texas, Play 007",,1,2,1,'-29,2,,,3,2,4,R,R,11,PSTL,TREY Y OFF BUNCH,,Z MTR,,,,,OFF,,,IZ,WK,ZN,,,4 DWN,,,,0,ALBI 04,ALBI 07,4,85,00; 06; 18,1,11,R,,R,9,4,0,,,MAN,,,0,0,1,0,0,ALBI 04,ALBI 07,04,00; 06; 18,85,WIDE UNDER,1x3,0,R,,0,COVER 3
8,"2510 UAB O vs North Texas, Play 009",,1,1,15,'-28,1,,,3,4,0,P,R,11,GF,DUO,STK,Z BNC,,,,X,ON,SPACING,INCOMPLETE,,,DB,MAN,,4 DWN,,,,0,,ALBI 07,3,85,00; 06; 18,0,11,P,,R,,0,0,1,,,,,0,0,0,0,0,,ALBI 07,03,00; 06; 18,85,WIDE UNDER,2x2,0,,ALBI 00,0,COVER 4
9,"2510 UAB O vs North Texas, Play 010",,1,2,15,'-28,2,,,3,5,6,P,R,11,GN,TREY Y OFF,,,,X,,,OFF,HITCHES,COMPLETE,,,GAP,GAP,,3 DWN,,,,0,ALBI 00,ALBI 07,3,85,00; 06; 18,0,11,P,,R,,6,0,1,,COUNTER,,,0,0,0,0,0,ALBI 00,ALBI 07,03,00; 06; 18,85,ODD,3x1,1,P,ALBI 00,1,COVER 4
10,"2510 UAB O vs North Texas, Play 011",,1,3,9,'-34,3,,,3,6,7,P,R,11,GF,TREY Y OFF,STK,Z IN,,,,,OFF,DAGGER,COMPLETE,,,DB,MAN,,3 DWN,,,,0,ALBI 18,ALBI 07,3,85,00; 06; 18,0,11,P,,R,6,7,0,0,,,,,0,0,0,0,0,ALBI 18,ALBI 07,03,00; 06; 18,85,ODD,1x3,0,P,ALBI 18,0,COVER 2 MAN
